DefaultSC.A1ModJulian     DefaultSC.MOON_INERTIAL.X   DefaultSC.MOON_INERTIAL.Y   DefaultSC.MOON_INERTIAL.Z   DefaultSC.MOON_INERTIAL.VX   DefaultSC.MOON_INERTIAL.VY   DefaultSC.MOON_INERTIAL.VZ   DefaultSC.ElapsedSecs     
21544.99962789878         7000                        0                           0                           0                            0.8368990878020907           0                            0                         
21545.00032234322         6999.81994186755            50.21362786868121           3.236944030504674e-05       -0.006001907593518152        0.8368813314343985           1.080215746573909e-06        59.99999988125637         
21545.00101678767         6999.279777797521           100.4248986198218           0.0001297729468205944       -0.01200347975011329         0.8368205175260934           2.167784317774757e-06        120.0000000768341         
21545.00171123211         6998.379537186411           150.6312288784538           0.0002926484885392711       -0.01800440746305976         0.8367166490264607           3.262599468145666e-06        179.9999999580905         
21545.00240567656         6997.119267970615           200.8300355130923           0.0005214276752667502       -0.02400438174379405         0.8365697311056187           4.364554125058095e-06        240.0000001536682         
21545.003100121           6995.499036624911           251.0187357690884           0.0008165356266545132       -0.03000309363794063         0.8363797711547348           5.473540396649934e-06        300.0000000349246         
21545.00379456544         6993.518928159901           301.1947474018671           0.001178390986751765        -0.03600023424134824         0.8361467787861248           6.589449579930129e-06        359.999999916181          
21545.00448900989         6991.179046118574           351.3554888102226           0.001607405836693943        -0.04199549471613728         0.8358707658332334           7.712172168439224e-06        420.0000001117587         
21545.00518345433         6988.479512571706           401.4983791697305           0.00210398570925463         -0.04798856630675441         0.8355517463504988           8.841597860964612e-06        479.9999999930151         
21545.00587789878         6985.420468112687           451.6208385657519           0.002668529428774491        -0.0539791403560369          0.8351897366130991           9.97761556920107e-06         539.9999998742715         
21545.00657234322         6982.002071850759           501.7202881266712           0.00330142916936893         -0.05996690832128337         0.8347847551165801           1.112011342635499e-05        600.0000000698492         
21545.00726678767         6978.224501404155           551.7941501573659           0.004003070382168517        -0.0659515617903309          0.834336822576365            1.226897879547106e-05        659.9999999511056         
21545.00796123211         6974.087952891306           601.8398482721532           0.004773831708007492        -0.07193279249763762         0.8338459619271451           1.342409827786994e-05        720.0000001466833         
21545.00865567656         6969.592640921823           651.8548075280269           0.005614084977423772        -0.07791029234037017         0.8333121983221519           1.458535772164149e-05        780.0000000279397         
21545.009350121           6964.738798586361           701.8364545576624           0.006524195137899369        -0.08388375339449361         0.8327355591323102           1.575264223035999e-05        839.999999909196          
21545.01004456545         6959.526677444985           751.7822177024791           0.007504520239308476        -0.08985286793086522         0.8321160739452714           1.69258361716329e-05         900.0000001047738         
21545.01073900989         6953.956547515525           801.6895271457033           0.008555411346605979        -0.09581732843132906         0.8314537745643265           1.810482318598261e-05        959.9999999860302         
21545.01143345433         6948.028697259957           851.555815045198            0.009677212539827451        -0.1017768276048112          0.8307486950072006           1.92894861955617e-05         1019.999999867287         
21545.01212789878         6941.743433570606           901.3785156662343           0.0108702608558815          -0.1077310584034157          0.8300008715047263           2.047970741325678e-05        1080.000000062864         
21545.01282234322         6935.101081754954           951.1550655142637           0.01213488623034209         -0.1136797140385176          0.8292103424993965           2.167536835145922e-05        1139.999999944121         
21545.01351678767         6928.101985519694           1000.882903467631           0.01347141146834474         -0.1196224879968555          0.8283771486437981           2.287634983139109e-05        1200.000000139698         
21545.01421123211         6920.746506953554           1050.55947091023            0.01488015221548267         -0.1255590740566196          0.8275013327989228           2.408253199198684e-05        1260.000000020955         
21545.01490567655         6913.035026509373           1100.182211863634           0.01636141691415105         -0.1314891663035367          0.8265829400323595           2.52937942992193e-05         1319.999999902211         
21545.015600121           6904.967942985415           1149.748573119694           0.01791550671623554         -0.1374124591469487          0.8256220176163631           2.651001555542543e-05        1380.000000097789         
21545.01629456544         6896.545673505054           1199.256004372612           0.01954271551221609         -0.1433286473358861          0.8246186150258035           2.773107390863228e-05        1439.999999979045         
21545.01698900989         6887.768653496343           1248.701958351303           0.02124332987295929         -0.1492374259751339          0.8235727839359936           2.895684686188282e-05        1499.999999860302         
21545.01768345433         6878.637336669781           1298.083890950948           0.0230176289769588          -0.1551384905412891          0.8224845782203949           3.018721128295043e-05        1560.000000055879         
21545.01837789878         6869.152194995841           1347.399261365179           0.02486588458123151         -0.1610315368988093          0.8213540539482007           3.142204341372024e-05        1619.999999937136         
21545.01907234322         6859.313718680991           1396.645532217401           0.02678836105042137         -0.1669162613160513          0.8201812693817992           3.266121887984808e-05        1680.000000132713         
21545.01976678767         6849.122416143247           1445.820169692684           0.02878531521128025         -0.1727923604812973          0.8189662849741142           3.390461270058598e-05        1740.00000001397          
21545.02046123211         6838.578813986096           1494.920643668855           0.0308569964254275          -0.1786595315187708          0.8177091633658226           3.515209929838559e-05        1799.999999895226         
21545.02115567656         6827.6834569723             1543.944427847629           0.03300364645838272         -0.1845174720046373          0.8164099693824517           3.640355250889016e-05        1860.000000090804         
21545.021850121           6816.436907996016           1592.888999885938           0.03522549952322152         -0.1903658799829916          0.8150687700313525           3.765884559076005e-05        1919.99999997206          
21545.02254456544         6804.839748054277           1641.751841526304           0.03752278219326399         -0.1962044539818298          0.813685634498552            3.89178512356092e-05         1979.999999853317         
21545.02323900989         6792.892576217593           1690.530438727874           0.03989571337297093         -0.2020328930290045          0.8122606341454826           4.018044157810818e-05        2040.000000048894         
