DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.ElapsedSecs     
21544.99962789878         7000                        0                           0                           0                            4.620625002223959e-16        7.546053287267836            0                         
21545.00032234322         6985.34335386607            8.759277496695528e-05       452.4462266414645           -0.4883825596077032          2.95657649760992e-06         7.530208413938866            59.99999988125637         
21545.00101678767         6941.435401009616           0.0003579021286859005       902.9926031213529           -0.974700028435149           6.06869022144911e-06         7.482747761686003            120.0000000768341         
21545.00171123211         6868.461758594282           0.0008163040280288276       1349.747650786361           -1.456897721195415           9.204249130540823e-06        7.403876258033762            179.9999999580905         
21545.00240567656         6766.730804262832           0.001460250228919403        1790.836251766101           -1.932939863809337           1.223187584846634e-05        7.293934088644169            240.0000001536682         
21545.003100121           6636.672262946337           0.002279431419038633        2224.407712981588           -2.400818847226876           1.502490354901241e-05        7.153394862862526            300.0000000349246         
21545.00379456544         6478.835244537617           0.003256176481148735        2648.643699030092           -2.858564267100946           1.74652289717126e-05         6.982863082114549            359.999999916181          
21545.00448900989         6293.885747211533           0.004366075436725373        3061.765993051135           -3.304251685758897           1.944689470649985e-05        6.783070943613133            420.0000001117587         
21545.00518345433         6082.60364481286            0.005578806202451271        3462.044046855352           -3.736011058957498           2.087928177012473e-05        6.554874519292381            479.9999999930151         
21545.00587789878         5845.879179974503           0.006859138513439455        3847.802284186062           -4.1520347770221             2.168980620773435e-05        6.29924935609621             539.9999998742715         
21545.00657234322         5584.708987418658           0.008168082490429499        4217.427123902135           -4.550585277887315           2.182603070796109e-05        6.017285548538875            600.0000000698492         
21545.00726678767         5300.191674191519           0.009464144570042589        4569.373693031466           -4.930002197977013           2.12571220182224e-05         5.710182337716737            659.9999999511056         
21545.00796123211         4993.522985367749           0.01070465003594985         4902.172202953679           -5.2887090354743             1.997460784899363e-05        5.379242292640503            720.0000001466833         
21545.00865567656         4665.990585031566           0.01184708933334558         5214.433965334614           -5.625219309028925           1.799241115755235e-05        5.025865129896321            780.0000000279397         
21545.009350121           4318.968483113168           0.01285044477990985         5504.857027762851           -5.938142203037057           1.534616506747326e-05        4.651541226315203            839.999999909196          
21545.01004456545         3953.911138964684           0.01367645524042062         5772.231412245716           -6.226187698042009           1.209183679686804e-05        4.257844876672101            900.0000001047738         
21545.01073900989         3572.347272446529           0.01429077874816986         6015.443942734686           -6.488171191318211           8.30371267599581e-06         3.846427344634048            959.9999999860302         
21545.01143345433         3175.873412822547           0.01466401688413089         6233.482650605581           -6.723017618134603           4.071819109536816e-06        3.419009750454066            1019.999999867287         
21545.01212789878         2766.147214999453           0.01477256978638076         6425.440749469508           -6.92976508842016            -5.011269370752404e-07       2.977375833511453            1080.000000062864         
21545.01282234322         2344.880571667896           0.01459929678666685         6590.520172803849           -7.107568056498556           -5.303128126843618e-06       2.523364621991769            1139.999999944121         
21545.01351678767         1913.832548786711           0.01413396462764452         6728.034669651511           -7.255700043200765           -1.021655621361513e-05       2.058863036044942            1200.000000139698         
21545.01421123211         1474.802170676114           0.01337347274466961         6837.41245504048            -7.373555930033621           -1.512191200793506e-05       1.585798444913475            1260.000000020955         
21545.01490567655         1029.621079823979           0.01232185290079986         6918.198412837934           -7.460653844255313           -1.99015651692509e-05        1.106131193023205            1319.999999902211         
21545.015600121           580.1460954304613           0.01099004827826656         6970.055849501273           -7.516636651802504           -2.444334485582169e-05       0.6218471050909634           1380.000000097789         
21545.01629456544         128.2516937803361           0.009395484655544278        6992.767797661782           -7.541273072178394           -2.864386028951488e-05       0.134949976110208            1439.999999979045         
21545.01698900989         -324.1775672097682          0.007561453230482396        6986.237868724514           -7.534458425823853           -3.241144154161954e-05       -0.3525459512225471          1499.999999860302         
21545.01768345433         -775.2546574313828          0.005516330773854552        6950.490653747841           -7.496215020351044           -3.566860694169526e-05       -0.8386235213678336          1560.000000055879         
21545.01837789878         -1223.097696422902          0.003292667869601878        6885.671671840713           -7.426692177530299           -3.835398209903589e-05       -1.321270214023612           1619.999999937136         
21545.01907234322         -1665.837565993399          0.0009261798329542887       6792.046865251439           -7.326165898301992           -4.04236180028473e-05        -1.798485706444549           1680.000000132713         
21545.01976678767         -2101.625491717347          -0.001545322614626091       6670.001640286267           -7.195038158553205           -4.185167803444182e-05       -2.268289449981604           1740.00000001397          
21545.02046123211         -2528.640570821444          -0.004083024765396052       6520.039453255587           -7.033835824166228           -4.263048863867329e-05       -2.728728258699719           1799.999999895226         
21545.02115567656         -2945.097223180236          -0.006648183696991048       6342.77994086341            -6.843209170116356           -4.276997200406133e-05       -3.177883904792169           1860.000000090804         
21545.021850121           -3349.252541128913          -0.009203152439960872       6138.956594889967           -6.623929985359789           -4.229650192543159e-05       -3.613880711459378           1919.99999997206          
21545.02254456544         -3739.413512636184          -0.01171231969495741        5909.413981718498           -6.376889243080229           -4.125124484225549e-05       -4.034893129093545           1979.999999853317         
21545.02323900989         -4113.944091114078          -0.01414293652052427        5655.104508267316           -6.103094314703206           -3.968806583325873e-05       -4.439153275173472           2040.000000048894         
