DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.ElapsedSecs     
30345.72106311784         -38390.40862859759          -18598.85082031965          -2190.072232717599          1.381038785954436            -2.617755299902547           -0.6684143895014674          0                         
30345.72175756229         -38307.19307626622          -18755.74441447447          -2230.156811689399          1.392809257219848            -2.612022875682954           -0.6677361603985853          59.99999988125637         
30345.72245200673         -38223.27196408512          -18912.29257058806          -2270.200322116121          1.404557410794022            -2.606240710816029           -0.667045438837362           120.0000000768341         
30345.72314645118         -38138.64663774181          -19068.49230644246          -2310.20201460331           1.416283025828518            -2.600408879482636           -0.6663422299545887          179.9999999580905         
30345.72384089562         -38053.31845617124          -19224.34064429776          -2350.161140071074          1.427985881589891            -2.594527456769069           -0.6656265390989793          240.0000001536682         
30345.72453534006         -37967.28879154885          -19379.8346109464           -2390.076949766811          1.439665757463302            -2.588596518668185           -0.6648983718316198          300.0000000349246         
30345.72522978451         -37880.55902928334          -19534.9712377676           -2429.948695277968          1.451322432956138            -2.582616142080523           -0.6641577339264153          359.999999916181          
30345.72592422895         -37793.13056800916          -19689.74756078191          -2469.775628544824          1.462955687701665            -2.576586404815417           -0.6634046313705363          420.0000001117587         
30345.7266186734          -37705.00481957892          -19844.16062070568          -2509.557001873294          1.474565301462686            -2.570507385592098           -0.6626390703648636          479.9999999930151         
30345.72731311784         -37616.1832090555           -19998.20746300579          -2549.29206794777           1.486151054135224            -2.564379164040776           -0.6618610573244307          539.9999998742715         
30345.72800756229         -37526.66717470391          -20151.88513795425          -2588.980079843981          1.497712725752224            -2.558201820703729           -0.6610705988788673          600.0000000698492         
30345.72870200673         -37436.45816798297          -20305.19070068302          -2628.620291041881          1.509250096487273            -2.551975437036366           -0.6602677018728376          659.9999999511056         
30345.72939645118         -37345.55765353681          -20458.12121123879          -2668.21195543857           1.520762946658338            -2.545700095408284           -0.6594523733664804          720.0000001466833         
30345.73009089562         -37253.96710918602          -20610.67373463788          -2707.754327361229          1.532251056731525            -2.539375879104311           -0.6586246206358456          780.0000000279397         
30345.73078534006         -37161.68802591874          -20762.8453409212           -2747.246661580089          1.543714207324852            -2.533002872325546           -0.6577844511733301          839.999999909196          
30345.73147978451         -37068.7219078813           -20914.6331052092           -2786.688213321429          1.55515217921205             -2.526581160190372           -0.6569318726881109          900.0000001047738         
30345.73217422895         -36975.07027236887          -21066.03410775703          -2826.078238280591          1.566564753326369            -2.520110828735477           -0.6560668931065787          959.9999999860302         
30345.7328686734          -36880.73464981577          -21217.04543400957          -2865.415992635028          1.57795171076442             -2.513591964916841           -0.6551895205727666          1019.999999867287         
30345.73356311784         -36785.71658378551          -21367.66417465669          -2904.700733057373          1.589312832790019            -2.507024656610729           -0.6542997634487797          1080.000000062864         
30345.73425756229         -36690.01763096065          -21517.88742568845          -2943.931716728544          1.600647900838063            -2.50040899261466            -0.6533976303152217          1139.999999944121         
30345.73495200673         -36593.63936113242          -21667.71228845043          -2983.108201350854          1.611956696518417            -2.493745062648369           -0.6524831299716194          1200.000000139698         
30345.73564645118         -36496.58335719015          -21817.13586969909          -3022.229445161169          1.623239001619824            -2.487032957354756           -0.6515562714368458          1260.000000020955         
30345.73634089562         -36398.85121511032          -21966.15528165718          -3061.294706944078          1.63449459811383             -2.480272768300814           -0.6506170639495411          1319.999999902211         
30345.73703534007         -36300.4445439456           -22114.7676420692           -3100.303246045093          1.645723268158733            -2.47346458797856            -0.6496655169685321          1380.000000097789         
30345.73772978451         -36201.36496581342          -22262.97007425698          -3139.254322383869          1.656924794103548            -2.466608509805935           -0.6487016401732485          1439.999999979045         
