DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.ElapsedSecs     
21544.99962789878         7000                        0                           0                           0                            7.546053287267836            0                            0                         
21545.00032234322         6985.362638994488           452.4475705907025           2.899983621138562e-07       -0.4877419204412812          7.530274137710014            9.980275775072165e-09        59.99999988125637         
21545.00101678767         6941.511771024403           903.0029610523933           1.234396116267974e-06       -0.9734440515063415          7.48300260684615             2.179820214944836e-08        120.0000000768341         
21545.00171123211         6868.630785089246           1349.781902377137           2.940583873635881e-06       -1.455075136592535           7.404436388989548            3.535571023745981e-08        179.9999999580905         
21545.00240567656         6767.024477150878           1790.915919052232           5.509632389995602e-06       -1.930620944527971           7.294904056124123            5.054031196026815e-08        240.0000001536682         
21545.003100121           6637.117775451216           2224.560143222143           9.035447106807794e-06       -2.398092693307124           7.154863683812616            6.722576994765574e-08        300.0000000349246         
21545.00379456544         6479.453963423348           2648.901030122517           1.360396528361562e-05       -2.855535367402601           6.984900935504624            8.527284681513813e-08        359.999999916181          
21545.00448900989         6294.692407627604           3062.163942519298           1.92924003803072e-05        -3.301035893868558           6.785726613254541            1.045301302775879e-07        420.0000001117587         
21545.00518345433         6083.605800214236           3462.62057243376            2.61685381302008e-05        -3.732731143041516           6.558173685091172            1.248349304047794e-07        479.9999999930151         
21545.00587789878         5847.076927444714           3848.596169114628           3.429008851049762e-05       -4.148815720377575           6.30319380146971             1.460142449308666e-07        539.9999998742715         
21545.00657234322         5586.094977785778           4218.476543028735           4.370409756540946e-05       -4.547549516838322           6.021853315373682            1.678857882483961e-07        600.0000000698492         
21545.00726678767         5301.751405016071           4570.714816578304           5.444642276531436e-05       -4.927264986247285           5.71532882271063             1.90259079503388e-07         659.9999999511056         
21545.00796123211         4995.235363646247           4903.837893312141           6.654127529215464e-05       -5.286374119180529           5.38490224165174             2.129365844975686e-07        720.0000001466833         
21545.00865567656         4667.828735742149           5216.452618575305           8.000083233684149e-05       -5.623375084224078           5.031955451494224            2.357149066495048e-07        780.0000000279397         
21545.009350121           4320.900769949623           5507.25160583227            9.482492217407858e-05       -5.936858508821941           4.65796451346769             2.583860209728201e-07        839.999999909196          
21545.01004456545         3955.902355141393           5775.018704296834           0.0001110007844318232       -6.225513373445902           4.264493497654483            2.807385456467987e-07        900.0000001047738         
21545.01073900989         3574.359952634597           6018.634085002144           0.0001285029076328168       -6.488132494435532           3.853187941841551            3.025590451098617e-07        959.9999999860302         
21545.01143345433         3177.869212355544           6237.078924040047           0.0001472929457043466       -6.723617572577288           3.425767969661038            3.23633358217657e-07         1019.999999867287         
21545.01212789878         2768.088299650113           6429.43966338371            0.0001673197147810784       -6.930983786308022           2.984021096801856            3.437479454343881e-07        1080.000000062864         
21545.01282234322         2346.730960648344           6594.911831474188           0.0001885192712348239       -7.109363910332924           2.529794755379318            3.626912480723578e-07        1139.999999944121         
21545.01351678767         1915.559355185225           6732.803407592803           0.000210815071452394        -7.258011942433082           2.064988567728645            3.802550528548418e-07        1200.000000139698         
21545.01421123211         1476.376687251773           6842.537715949296           0.0002341182134881995       -7.376306223295032           1.591546401936212            3.962358553550223e-07        1260.000000020955         
21545.01490567655         1031.01966379725            6923.655837382593           0.0002583277602917103       -7.463752036315275           1.111448242335159            4.104362145308577e-07        1319.999999902211         
21545.015600121           581.3508134211662           6975.818528588517           0.0002833311437789803       -7.519983676507971           0.6267019089657254           4.226660918067602e-07        1380.000000097789         
21545.01629456544         129.2506970796275           6998.807640848535           0.0003090046486001637       -7.544765979864592           0.1393346606322004           4.32744167316923e-07         1439.999999979045         
21545.01698900989         -323.389956617918           6992.527032326776           0.0003352139740175511       -7.537995306771168           -0.3486152833251144          4.404991261472629e-07        1499.999999860302         
21545.01768345433         -774.6781586301751          6957.002970120667           0.0003618148718720401       -7.499699975372197           -0.8351072670848201          4.457709071524364e-07        1560.000000055879         
21545.01837789878         -1222.726576154708          6892.38402038445            0.0003886538581817427       -7.430040143070906           -1.318106732576851           4.484119073966651e-07        1619.999999937136         
21545.01907234322         -1665.661425639428          6798.940426985857           0.0004155689954996652       -7.329307136663689           -1.795593728200862           4.4828813507951e-07          1680.000000132713         
21545.01976678767         -2101.630309125514          6677.062981295207           0.0004423907427121797       -7.197922233912466           -2.265571356446141           4.452803035396633e-07        1740.00000001397          
21545.02046123211         -2528.809961149554          6527.261387834367           0.0004689428685452592       -7.036434901652902           -2.726074125084583           4.39284859659934e-07         1799.999999895226         
21545.02115567656         -2945.413873806891          6350.162132621276           0.0004950434246339762       -6.845520497809148           -3.175176167011958           4.302149397939582e-07        1860.000000090804         
21545.021850121           -3349.699768087806          6146.505863125545           0.0005205057736093103       -6.625977446927606           -3.610999294362425           4.180012466695862e-07        1919.99999997206          
21545.02254456544         -3739.976880241232          5917.144290792986           0.0005451396672691391       -6.378723901043794           -4.031720853214778           4.025928409146981e-07        1979.999999853317         
21545.02323900989         -4114.613032694326          5663.036629093483           0.0005687523695151077       -6.104793899848492           -4.435581346043099           3.839578407289732e-07        2040.000000048894         
21545.02393345433         -4472.041459957351          5385.245581989039           0.000591149818390213        -5.805333046212904           -4.820891790036195           3.620840246472319e-07        2099.999999930151         
21545.02462789878         -4810.767360968051          5084.932899598836           0.000612137821214247        -5.481593715159064           -5.186040780514924           3.36979331143385e-07         2160.000000125729         
