DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.ElapsedSecs     
21544.99962789878         7000                        0                           0                           0                            7.546053287267836            0                            0                         
21545.00032234322         6985.342850120789           452.4471423620776           -3.712924020400064e-05      -0.4884017797291228          7.530252723476986            -1.236830885605066e-06       59.99999988125637         
21545.00101678767         6941.432533441191           902.9995245817438           -0.0001482723800169768      -0.9747664854737068          7.48291639919025             -2.46629676950058e-06        120.0000000768341         
21545.00171123211         6868.452200063643           1349.770225430682           -0.0003328379928971563      -1.457065333122288           7.404240158778832            -3.683421637470802e-06       179.9999999580905         
21545.00240567656         6766.706271827723           1790.887970677709           -0.0005899377630112845      -1.933286088019298           7.294549553346714            -4.883288444988008e-06       240.0000001536682         
21545.003100121           6636.619202994369           2224.50487959424            -0.0009183906059913199      -2.401441263968168           7.154298559225317            -6.061058489035256e-06       300.0000000349246         
21545.00379456544         6478.733751561045           2648.804119333829           -0.001316727942517588       -2.859576231516864           6.984067789406884            -7.211990450828416e-06       359.999999916181          
21545.00448900989         6293.708767551382           3062.00743692066            -0.001783200103568788       -3.305777205543235           6.784562203467712            -8.3314590626935e-06         420.0000001117587         
21545.00518345433         6082.316506415296           3462.382538962886           -0.002315783840596344       -3.73817908238277            6.556608323132354            -9.41497326781734e-06        479.9999999930151         
21545.00587789878         5845.43947745273            3848.250289684028           -0.002912190911947022       -4.154973097029338           6.301150962239081            -1.045819392410218e-05       539.9999998742715         
21545.00657234322         5584.066838932018           4217.991698439756           -0.003569877713120341       -4.554414271294355           6.019249481486351            -1.145695086068282e-05       600.0000000698492         
21545.00726678767         5299.290353308347           4570.054668559039           -0.004286055911216782       -4.934828624236304           5.712073579969396            -1.240725931992411e-05       659.9999999511056         
21545.00796123211         4992.299917654327           4902.960480118274           -0.005057704044476943       -5.294620116675929           5.380898637154921            -1.330533565306659e-05       720.0000001466833         
21545.00865567656         4664.378686088655           5215.309980125277           -0.005881580041495917       -5.632277302198253           5.027100620588211            -1.414761227739179e-05       780.0000000279397         
