DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.ElapsedSecs     
21544.99962789878         7000                        0                           0                           0                            7.546053287267836            0                            0                         
21545.00032234322         6985.342850220604           452.4471434660431           -3.683924236952612e-05      -0.4884017760215686          7.530252760617064            -1.226850645364783e-06       59.99999988125637         
21545.00101678767         6941.432533932588           902.9995290765939           -0.0001470379926908477      -0.9747664757307553          7.482916475373154            -2.444498866216263e-06       120.0000000768341         
21545.00171123211         6868.452201382196           1349.770235709224           -0.0003298974553248934      -1.457065314861702           7.404240275637766            -3.648066986547258e-06       179.9999999580905         
21545.00240567656         6766.706274564938           1790.88798922393            -0.0005844282827974918      -1.933286058511001           7.294549712299479            -4.832750767981256e-06       240.0000001536682         
21545.003100121           6636.619207915025           2224.50490897279            -0.0009093555450720278      -2.401441220154848           7.154298761559579            -5.993838116218184e-06       300.0000000349246         
21545.00379456544         6478.733759624687           2648.804162185485           -0.001303124809350813       -2.859576169956172           6.984068036393394            -7.126727379704262e-06       359.999999916181          
21545.00448900989         6293.708779936461           3062.007495965292           -0.001763909304617165       -3.305777122378385           6.784562496496659            -8.226945196900875e-06       420.0000001117587         
21545.00518345433         6082.316524544078           3462.382617011162           -0.00228961813974327        -3.7381789733473             6.556608663866514            -9.29016376428526e-06        479.9999999930151         
21545.00587789878         5845.439503014776           3848.250389658607           -0.002877905542269034       -4.154972957490428           6.301151352776216            -1.031221758002248e-05       539.9999998742715         
21545.00657234322         5584.066873903842           4217.991823406303           -0.003526181081451287       -4.554414096337488           6.019249924522307            -1.128911947587653e-05       600.0000000698492         
21545.00726678767         5299.290399966712           4570.054821766813           -0.004231620832201589       -4.934828408792263           5.712074078952743            -1.221707597448319e-05       659.9999999511056         
21545.00796123211         4992.299978580681           4902.960665049508           -0.004991179437342319       -5.294619855689183           5.380899196423674            -1.309250184475672e-05       720.0000001466833         
21545.00865567656         4664.378764162285           5215.310200551991           -0.005801603019579923       -5.632276990833835           5.027101245479338            -1.391203386819981e-05       780.0000000279397         
21545.009350121           4316.897901002741           5505.789714603525           -0.006659442893469799       -5.946379291600938           4.652151273201217            -1.467254372041601e-05       839.999999909196          
21545.01004456545         3951.310886536798           5773.176461970335           -0.007561070019181248       -6.235603142932212           4.257609496825292            -1.537114984400383e-05       900.0000001047738         
21545.01073900989         3569.147586604254           6016.343829298071           -0.008502690146630928       -6.498727449445948           3.84511901687505             -1.600522851505159e-05       959.9999999860302         
21545.01143345433         3172.007925751993           6234.266110530804           -0.009480359587016518       -6.734638851345795           3.416399173696626            -1.657242374293802e-05       1019.999999867287         
21545.01212789878         2761.555277051029           6426.022873607885           -0.0104900015497514         -6.942336520903727           2.973238570904054            -1.707065618585593e-05       1080.000000062864         
21545.01282234322         2339.509577261078           6590.802899198477           -0.01152742298103743        -7.120936517496189           2.517487790838494            -1.749813095166211e-05       1139.999999944121         
21545.01351678767         1907.640194457277           6727.90767378684            -0.01258833183735144        -7.269675680497262           2.051051828706193            -1.78533442800448e-05        1200.000000139698         
21545.01421123211         1467.758576432601           6836.754421067055           -0.01366835472071003        -7.387915040781623           1.575882273575282            -1.813508894814161e-05       1260.000000020955         
21545.01490567655         1021.710709297752           6916.878657340749           -0.01476305481005555        -7.475142733165311           1.093969265870019            -1.834245871069665e-05       1319.999999902211         
21545.015600121           571.3694167101582           6967.936258431743           -0.01586795001845271        -7.530976393815071           0.6073332623904218           -1.847485133335177e-05       1380.000000097789         
21545.01629456544         118.6265310676107           6989.705027532898           -0.01697853129587684        -7.55516502848691            0.1180166411926546           -1.853197050270718e-05       1439.999999979045         
21545.01698900989         -334.6150312076073          6982.085755377439           -0.01809028100897846        -7.547590339409909           -0.371924820122481           -1.851382642202015e-05       1499.999999860302         
